"","StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","Training.1_Prompt_C","Training.2_C","Q2_F2_Tree_C","Q3_F3_landscape_C","Q5_F5_People_C","QA1_A1_Car_C","Q42_A2_Cartoon_C","QA3_A3_Penguin_C","Feel","Attitude_1","generative.AI","Experience","Academic.background","Visual.art","time.investment","experiment_name","SessionID","subject_id","trial_name","FL_27_DO","FL_38_DO","Technical.issues","Feel.1","Q4_F4_Apples_C","Q1_A4_Castle_C","Academic.background_5_TEXT","Q51","Anything.else","Language","Language.1","Language_5_TEXT","Academic.background.1","Highest.education.level.completed","Languagebinary"
"1","2024-09-25 05:33:15","2024-09-25 05:53:12",98,"1197","0","2024-09-25 06:11:17","R_2BbT7DpAdCeXEoz","3","3","4","3","2","4","1","1","some keywords in the beginning of prompt are heavily dominant in the generated image","3","1","2","","3","3","Artist_final","FS_2BbT7DpAdCeXEoz","FS_2BbT7DpAdCeXEoz","Aesthetics Q1","FL_30|FL_32|FL_36|FL_34","FL_48|FL_29|FL_42|FL_41","yes","some keywords in the beginning of prompt are heavily dominant in the generated image","2","2","","15","","5","5","Estonian","4",NA,NA
"2","2024-09-25 14:21:58","2024-09-25 15:01:31",98,"2373","0","2024-09-26 02:33:55","R_2l6wXhS7TFhxbpA","4","4","4","3","2","2","1","2","It's not so easy to turn down the dramatic aspects and create casual content that could feel real. I do like the possibility to quickly visualize or sketch ideas.","3","1","2","","3","2","Artist_final","FS_2l6wXhS7TFhxbpA","FS_2l6wXhS7TFhxbpA","Aesthetics Q3","FL_34|FL_32|FL_30|FL_36","FL_29|FL_41|FL_42|FL_48","No","It's not so easy to turn down the dramatic aspects and create casual content that could feel real. I do like the possibility to quickly visualize or sketch ideas.","4","2","","15","","5","5","","3",NA,NA
"3","2024-09-26 02:36:07","2024-09-26 02:51:53",93,"946","0","2024-09-26 04:19:47","R_8NCyh8Qk04E9nH0","3","1","1","3","3","2","4","4","I find it interesting to experiment and possibly generate images if there is a real hurry to illustrate some ideas. Mostly I find the experience positive.","4","1","4","","3","","Artist_final","FS_8NCyh8Qk04E9nH0","FS_8NCyh8Qk04E9nH0","FaithfulQ1","FL_32|FL_34|FL_36|FL_30","FL_41|FL_48|FL_42|FL_29","Yes, I had to switch browsers. ARC browser did not work so I used Safari.","I find it interesting to experiment and possibly generate images if there is a real hurry to illustrate some ideas. Mostly I find the experience positive.","2","3","","23","","4","4","","4",NA,NA
"4","2024-09-26 03:03:13","2024-09-26 03:20:30",98,"1037","0","2024-09-26 04:19:47","R_8mtXu1vqNUK6W77","4","3","1","1","4","4","1","1","i'm not interested on it","3","1","3","","3","4","Artist_final","FS_8mtXu1vqNUK6W77","FS_8mtXu1vqNUK6W77","Aesthetics Q3","FL_36|FL_34|FL_30|FL_32","FL_29|FL_41|FL_42|FL_48","no","i'm not interested on it","","1","","25","have fun!","5","5","catala","1",NA,NA
"5","2024-09-26 13:54:20","2024-09-26 14:26:57",98,"1956","0","2024-09-27 02:03:32","R_2Kxo8YCURVtkOKF","1","3","2","3","1","3","2","4","It's fun, and has a lot of creative potential, despite the problems associated with generative AI in general","4","1","3","","2","2","Artist_final","FS_2Kxo8YCURVtkOKF","FS_2Kxo8YCURVtkOKF","FaithfulQ1","FL_32|FL_34|FL_30|FL_36","FL_41|FL_42|FL_48|FL_29","No. Just once the page didn't load properly and had to refresh.","It's fun, and has a lot of creative potential, despite the problems associated with generative AI in general","4","4","","20","","5","5","Catalan","4",NA,NA
"6","2024-09-27 04:41:40","2024-09-27 05:28:52",98,"2831","0","2024-09-27 05:45:25","R_8FrXtZACngY76Fn","4","4","4","3","2","2","4","4","Cool but somewhat predictable ","3","1","3","","3","4","Artist_final","FS_8FrXtZACngY76Fn","FS_8FrXtZACngY76Fn","FaithfulQ1","FL_30|FL_32|FL_34|FL_36","FL_48|FL_41|FL_42|FL_29","No","Cool but somewhat predictable ","4","4","","15","Nope","5","5","Spanish","3",NA,NA
"7","2024-09-28 03:57:09","2024-09-28 04:15:48",98,"1119","0","2024-09-28 05:26:05","R_8nVJDw37kw19GWL","2","1","4","4","2","4","3","3","I was never a big fan of it but I think it is interesting to experiment with it. ","3","1","2","6","3","2","Artist_final","FS_8nVJDw37kw19GWL","FS_8nVJDw37kw19GWL","Aesthetics Q2","FL_36|FL_32|FL_34|FL_30","FL_48|FL_41|FL_29|FL_42","Not really","I was never a big fan of it but I think it is interesting to experiment with it. ","3","1","","10","","5","5","Spanish","3",NA,NA
"8","2024-09-28 04:21:10","2024-09-28 04:56:01",98,"2091","0","2024-09-28 05:26:05","R_2VvGJclnPW1dWtO","1","1","3","","2","1","3","2","Exciting, inspirational.","5","1","2","7","3","3","Artist_final","FS_2VvGJclnPW1dWtO","FS_2VvGJclnPW1dWtO","FaithfulQ1","FL_32|FL_36|FL_30|FL_34","FL_41|FL_42|FL_48|FL_29","No.","Exciting, inspirational.","2","3","","40","No","5","5","Estonian","3",NA,NA
"9","2024-09-30 08:18:25","2024-09-30 08:37:18",98,"1133","0","2024-09-30 09:26:10","R_8qDtuZmYzbmcJqK","2","4","4","3","4","4","2","4","needs a lot of work","5","1","3","6","3","4","Artist_final","FS_8qDtuZmYzbmcJqK","FS_8qDtuZmYzbmcJqK","Aesthetics Q2","FL_30|FL_36|FL_32|FL_34","FL_29|FL_41|FL_48|FL_42","no","needs a lot of work","2","2","","40","no","4","4","","3",NA,NA
"10","2024-09-30 10:51:20","2024-09-30 11:08:27",100,"1026","1","2024-09-30 11:08:27","R_2hs2Q3Hl3C4vmTv","1","2","4","3","4","1","3","4","boring","4","1","2","1","3","4","Artist_final","FS_2hs2Q3Hl3C4vmTv","FS_2hs2Q3Hl3C4vmTv","Aesthetics Q1","FL_30|FL_34|FL_36|FL_32","FL_48|FL_29|FL_42|FL_41","no","boring","4","2","","30","no","5","5","german","1",NA,NA
